Time (s),Mass Flow Rate Fuel (lb/s),OF Ratio,C* (ft/s),Gamma,Chamber Pressure (psi),Cf0,Thrust Coefficient,Thrust (lbf),Isp (s),Burn Rate (ft/s),Port Radius (in)
45.800000000000004,0.009681507633604184,2.464709776843,5777.242322939467,1.1285091633152253,10.22493927868383,1.2993641124665376,1.360694550027896,283.43369871275064,20.360171310578178,0.0006551206823932946,0.2779240342361308
45.900000000000006,0.009678547924962205,2.465463487304843,5777.001381088837,1.128491507838163,10.223610687936592,1.2993670065788587,1.3607054142257726,283.39913311403075,20.359484737729463,0.0006553310176865211,0.27798954630437017
46.0,0.009675595011299859,2.4662159269023225,5776.760719438642,1.1284739152387984,10.22228473937983,1.299369890627815,1.3607162545756115,283.36463520321075,20.358798782010005,0.0006555414384638911,0.2780550794061388
46.1,0.00967264886354795,2.46696710029973,5776.520337623301,1.128456385206415,10.220961423116956,1.299372764661759,1.3607270711736372,283.33020472967104,20.358113443639223,0.0006557519447674445,0.27812063354998523
46.2,0.009669709452819033,2.4677170121350227,5776.280235275855,1.1284389174323715,10.219640729306626,1.2993756287287335,1.36073786411551,283.2958414441793,20.35742872282285,0.0006559625366392457,0.278186208744462
46.300000000000004,0.009666776750405922,2.4684656670200193,5776.040412028001,1.1284215116100844,10.218322648162358,1.2993784828764636,1.3607486334963186,283.26154509887846,20.356744619752952,0.0006561732141213828,0.2782518049981259
46.400000000000006,0.009663850727780207,2.4692130695406043,5775.800867510134,1.1284041674350105,10.217007169952117,1.299381327152367,1.3607593794105939,283.2273154472783,20.356061134608286,0.0006563839772559683,0.27831742231953804
46.5,0.009660931356590801,2.46995922425692,5775.561601351359,1.1283868846046285,10.215694284997882,1.2993841616035584,1.3607701019523137,283.19315224424474,20.355378267554407,0.0006565948260851395,0.27838306071726365
46.6,0.009658018608662482,2.4707041357035635,5775.322613179541,1.128369662818423,10.214383983675274,1.2993869862768432,1.360780801214899,283.15905524598895,20.354696018743795,0.0006568057606510575,0.27844872019987216
46.7,0.009655112455994458,2.47144780838978,5775.083902621327,1.1283525017778666,10.213076256413158,1.2993898012187273,1.360791477291225,283.12502421005894,20.354014388316106,0.000657016780995908,0.27851440077593725
46.800000000000004,0.009652212870758953,2.4721902467996535,5774.845469302192,1.1283354011864053,10.211771093693251,1.2993926064754235,1.3608021302736308,283.09105889533043,20.353333376398467,0.0006572278871619013,0.27858010245403686
46.900000000000006,0.009649319825299797,2.4729314553922968,5774.6073128464495,1.128318360749438,10.210468486049715,1.2993954020928364,1.360812760253903,283.0571590619932,20.352652983105283,0.0006574390791912714,0.27864582524275305
47.0,0.009646433292131043,2.473671438602036,5774.369432877299,1.1283013801743045,10.209168424068794,1.2993981881165872,1.3608233673233059,283.0233244715469,20.351973208538862,0.0006576503571262774,0.2787115691506722
47.1,0.009643553243935576,2.474410200838601,5774.131829016827,1.1282844591702657,10.207870898388391,1.299400964591999,1.3608339515725658,282.98955488678655,20.35129405278916,0.0006578617210092022,0.27877733418638484
47.2,0.009640679653563763,2.475147746487306,5773.894500886077,1.1282675974484895,10.206575899697748,1.2994037315641083,1.360844513091885,282.95585007179665,20.35061551593428,0.0006580731708823536,0.27884312035848574
47.300000000000004,0.009637812494032099,2.4758840799092328,5773.657448105045,1.128250794722034,10.205283418737016,1.299406489077665,1.3608550519709441,282.92220979194,20.349937598040455,0.0006582847067880636,0.27890892767557396
47.400000000000006,0.009634951738521861,2.4766192054414127,5773.420670292729,1.1282340507058315,10.203993446296936,1.2994092371771324,1.3608655682989028,282.88863381384937,20.349260299162253,0.000658496328768689,0.2789747561462528
47.5,0.009632097360377805,2.4773531273970026,5773.184167067138,1.1282173651166743,10.202705973218405,1.2994119759066947,1.3608760621644096,282.85512190541743,20.34858361934277,0.0006587080368666103,0.27904060577912965
